wordStem,wordFunction,value,pos
zermanschen,SHI,0,VERB
zerplatzen,SHI,0,VERB
zerrinnen,SHI,0,VERB
zerschlagen,SHI,0,VERB
zersetzen,SHI,0,VERB
zersplittern,SHI,0,VERB
zertrümmern,SHI,0,VERB
zumachen,SHI,0,VERB
zurückhalten,SHI,0,VERB
zurücknehmen,SHI,0,VERB
zurückstellen,SHI,0,VERB
zurücktreten,SHI,0,VERB
zusammenfallen,SHI,0,VERB
zusammenschnurzeln,SHI,0,VERB
zusammenstürzen,SHI,0,VERB
zügeln,SHI,0,VERB
übergehen,SHI,0,VERB
überlassen,SHI,0,VERB
überspringen,SHI,0,VERB
übertreten,SHI,0,VERB
