wordStem,wordFunction,value,pos
doppeldeutigkeit,VAL,-0.0048,NOUN
doppelspiel,VAL,-0.0048,NOUN
dreck,VAL,-0.0048,NOUN
drift,VAL,-0.0048,NOUN
drohung,VAL,-0.0048,NOUN
drosselung,VAL,-0.3178,NOUN
dummheit,VAL,-0.4877,NOUN
dummkopf,VAL,-0.0048,NOUN
dunkelheit,VAL,-0.3547,NOUN
durcheinander,VAL,-0.0048,NOUN
dussel,VAL,-0.3094,NOUN
dämpfer,VAL,-0.0048,NOUN
dürre,VAL,-0.0048,NOUN
düsternis,VAL,-0.0048,NOUN
egoist,VAL,-0.3179,NOUN
ehebruch,VAL,-0.4743,NOUN
einbrecher,VAL,-0.0048,NOUN
einbruch,VAL,-0.3498,NOUN
einbuße,VAL,-0.0048,NOUN
einsamkeit,VAL,-0.339,NOUN
einschlag,VAL,-0.0048,NOUN
einschränkung,VAL,-0.2048,NOUN
einschüchterung,VAL,-0.0048,NOUN
insturz,VAL,-0.0048,NOUN
ekel,VAL,-0.462,NOUN
elend,VAL,-0.2013,NOUN
empörung,VAL,-0.0048,NOUN
ende,VAL,-0.2088,NOUN
energielosigkeit,VAL,-0.0048,NOUN
entbindung,VAL,-0.0048,NOUN
entfremdung,VAL,-0.0048,NOUN
entführung,VAL,-0.0048,NOUN
enthauptung,VAL,-0.0048,NOUN
entlassung,VAL,-0.0048,NOUN
entmutigung,VAL,-0.0048,NOUN
enttäuschung,VAL,-0.3378,NOUN
entziehung,VAL,-0.0048,NOUN
epidemie,VAL,-0.0048,NOUN
ermahnung,VAL,-0.0048,NOUN
ermordung,VAL,-0.332,NOUN
ermüdung,VAL,-0.0048,NOUN
erniedrigung,VAL,-0.3259,NOUN
ernüchterung,VAL,-0.0048,NOUN
erosion,VAL,-0.0666,NOUN
erpressung,VAL,-0.0048,NOUN
erschöpfung,VAL,-0.0595,NOUN
erschütterung,VAL,-0.0048,NOUN
explosion,VAL,-0.0048,NOUN
fahrlässigkeit,VAL,-0.0048,NOUN
farce,VAL,-0.3349,NOUN
faschist,VAL,-0.0048,NOUN
faulheit,VAL,-0.611,NOUN
fehde,VAL,-0.0048,NOUN
fehlanzeige,VAL,-0.0048,NOUN
fehler,VAL,-0.6752,NOUN
fehlermeldung,VAL,-0.4765,NOUN
fehlkauf,VAL,-0.0048,NOUN
fehlkonstruktion,VAL,-0.0048,NOUN
fehlleistung,VAL,-0.0048,NOUN
fehltritt,VAL,-0.0048,NOUN
fehlverhalten,VAL,-0.3461,NOUN
feind,VAL,-0.8054,NOUN
feuer,VAL,-0.0445,NOUN
fiasko,VAL,-0.0048,NOUN
finanzkrise,VAL,-0.3283,NOUN
finte,VAL,-0.0048,NOUN
flaute,VAL,-0.0413,NOUN
fluch,VAL,-0.3534,NOUN
flucht,VAL,-0.0048,NOUN
flüchtiger,VAL,-0.0048,NOUN
flüchtigkeit,VAL,-0.0048,NOUN
flüchtling,VAL,-0.0048,NOUN
frechheit,VAL,-0.4665,NOUN
frust,VAL,-0.469,NOUN
frustration,VAL,-0.3354,NOUN
furcht,VAL,-0.5012,NOUN
fälschung,VAL,-0.3377,NOUN
gammler,VAL,-0.0048,NOUN
gangster,VAL,-0.3375,NOUN
garnichts,VAL,-0.0048,NOUN
gauner,VAL,-0.4592,NOUN
